Timestamp,Data
2023-08-02 16:15:08.452457,1AcX	AcY	AcZ	GyX	GyY	GyZ
2023-08-02 16:15:17.727276,-1519	31	4204	-1943	-15	1766
2023-08-02 16:15:17.760286,-1012	-153	5120	-733	-1272	319
2023-08-02 16:15:17.792881,-700	-256	4409	-132	-700	35
2023-08-02 16:15:17.820888,-736	-118	4608	234	-216	131
2023-08-02 16:15:17.849883,-640	-101	5006	174	20	114
2023-08-02 16:15:17.882721,-435	-223	5084	883	-1224	-213
2023-08-02 16:15:17.911615,32	-108	3570	-950	943	-383
2023-08-02 16:15:17.939618,-694	66	4517	-747	1067	80
2023-08-02 16:15:17.968812,-1361	145	5099	-607	319	-193
2023-08-02 16:15:18.001263,-1235	-17	4171	-417	-139	-167
2023-08-02 16:15:18.034259,-1549	-873	4381	-147	-282	-307
2023-08-02 16:15:18.063341,-2569	-250	4913	56	70	-236
2023-08-02 16:15:18.096085,-1175	-149	4950	-366	911	-564
2023-08-02 16:15:18.124000,-709	-8	5524	-300	513	-863
2023-08-02 16:15:18.157087,-708	61	4544	-625	303	-1176
2023-08-02 16:15:18.189678,-283	125	4844	-1482	-798	-1353
2023-08-02 16:15:18.222709,-975	-513	4312	174	-1809	-2105
2023-08-02 16:15:18.255604,-35	-85	4992	738	-1213	-2448
2023-08-02 16:15:18.288337,2882	159	4751	-1233	1449	-1283
2023-08-02 16:15:18.317266,3794	-811	5531	278	-343	5013
2023-08-02 16:15:18.349264,549	-1268	3231	-1046	517	5385
2023-08-02 16:15:18.386039,-1867	-1723	5474	-223	2005	3015
2023-08-02 16:15:18.415652,-120	-1332	5462	531	3148	2062
2023-08-02 16:15:18.447763,-63	-985	4648	241	4376	-330
2023-08-02 16:15:18.480253,-806	-757	4727	301	4814	-1948
2023-08-02 16:15:18.513522,-399	-592	4884	-634	5270	-2351
2023-08-02 16:15:18.546521,-1282	-532	5043	279	4939	-2475
2023-08-02 16:15:18.579265,-2333	-1063	5581	-464	4200	-3455
2023-08-02 16:15:18.616195,-1877	-1285	4696	-484	4638	-3847
2023-08-02 16:15:18.648191,-2192	-746	4611	1022	4830	-3875
2023-08-02 16:15:18.685949,-2900	-396	4298	1476	4669	-3606
2023-08-02 16:15:18.717946,-3700	-580	3802	1094	3760	-3051
2023-08-02 16:15:18.747037,-2765	7	4180	-93	1230	-1161
2023-08-02 16:15:18.783758,-3138	-393	3800	-2565	-666	-764
2023-08-02 16:15:18.816759,-3221	-750	4705	-2413	-1632	-466
2023-08-02 16:15:18.849755,-3289	-1116	4234	-561	-175	67
2023-08-02 16:15:18.882595,-4000	-1411	4354	-142	741	175
2023-08-02 16:15:18.919263,-3237	-1265	4416	-717	1683	-327
2023-08-02 16:15:18.951817,-2323	-766	4712	-546	2044	-909
2023-08-02 16:15:18.984677,-2881	-946	4612	-1289	1001	-1854
2023-08-02 16:15:19.020955,-2723	-958	4757	-1374	-18	-2351
2023-08-02 16:15:19.033894,0	0	0	0	0	0
2023-08-02 16:15:19.070963,-2470	-1218	4725	-1491	-1525	-2895
2023-08-02 16:15:19.107742,-2671	-1571	4734	-859	-1865	-2945
2023-08-02 16:15:19.144635,-2454	-1332	4695	-679	-1666	-2479
2023-08-02 16:15:19.181398,-2102	-1101	4612	-896	-1579	-2016
2023-08-02 16:15:19.217403,-1887	-969	4443	-1003	-1423	-1968
2023-08-02 16:15:19.250408,-1566	-786	4606	-258	-258	-258
2023-08-02 16:15:19.283935,-1620	-1017	4529	-329	-1348	-2990
2023-08-02 16:15:19.320931,-2345	-922	4582	1395	-1310	-2622
2023-08-02 16:15:19.357006,-2129	-831	4324	2323	-1454	-1769
2023-08-02 16:15:19.389855,-1637	-683	4238	2093	-1342	-454
2023-08-02 16:15:19.422805,-1256	-649	4264	1104	-798	-185
2023-08-02 16:15:19.455983,-1862	-656	4488	908	-208	-573
2023-08-02 16:15:19.484699,-1392	-539	4717	511	-1	-1
2023-08-02 16:15:19.512802,-1213	-407	4654	36	-1001	29
2023-08-02 16:15:19.545288,-1864	-851	4704	239	-1397	534
2023-08-02 16:15:19.578068,-2040	-1018	4739	711	-1429	884
2023-08-02 16:15:19.611066,-1786	-808	4787	1153	-1145	500
2023-08-02 16:15:19.643984,-2178	-583	4905	1881	-1007	-38
2023-08-02 16:15:19.680754,-1986	-650	4951	1873	-1612	155
2023-08-02 16:15:19.709667,-2280	-611	4685	722	-2493	609
2023-08-02 16:15:19.746675,-1351	-617	4553	-168	-2345	988
2023-08-02 16:15:19.779369,-1208	-691	4496	-692	-1666	1113
2023-08-02 16:15:19.811370,-1214	-780	4483	-229	-759	756
2023-08-02 16:15:19.840369,-1293	-690	4777	637	-120	614
2023-08-02 16:15:19.869487,-1244	-641	4569	566	98	764
2023-08-02 16:15:19.898001,-947	-596	4486	84	21	837
2023-08-02 16:15:19.931036,-1297	-832	4367	-501	121	819
2023-08-02 16:15:19.959375,-1389	-1022	4532	-274	303	443
2023-08-02 16:15:19.991897,-1176	-854	4637	583	618	-46
2023-08-02 16:15:20.020899,-887	-552	4695	560	448	69
2023-08-02 16:15:20.049077,-1455	-531	4575	-231	53	321
2023-08-02 16:15:20.082400,-1326	-390	4650	-867	-78	210
2023-08-02 16:15:20.110488,-1000	-569	4496	-1236	-8	-141
2023-08-02 16:15:20.143404,-965	-551	4692	-1092	312	-291
2023-08-02 16:15:20.176515,-874	-492	4736	-630	537	-157
2023-08-02 16:15:20.204635,-948	-691	4698	-466	466	241
2023-08-02 16:15:20.237631,-1052	-720	4780	-499	68	679
2023-08-02 16:15:20.266736,-1080	-785	4554	-480	166	987
2023-08-02 16:15:20.299149,-1647	-952	4507	286	887	778
2023-08-02 16:15:20.328149,-1866	-862	4757	1285	1281	537
2023-08-02 16:15:20.361150,-1880	-690	4835	1743	1077	570
2023-08-02 16:15:20.393914,-2009	-785	4785	674	129	954
2023-08-02 16:15:20.425939,-2422	-931	4910	-478	-1085	1179
2023-08-02 16:15:20.459065,-2294	-1285	4788	-899	-1616	849
2023-08-02 16:15:20.492311,-1979	-1197	4857	-444	-1292	84
2023-08-02 16:15:20.528391,-2341	-1287	4935	123	-820	-407
2023-08-02 16:15:20.561440,-2016	-1291	4848	196	-625	-535
2023-08-02 16:15:20.594019,-1716	-1186	4807	-256	-879	-455
2023-08-02 16:15:20.630914,-1809	-1127	4675	-442	-1130	-605
2023-08-02 16:15:20.663995,-1554	-1087	4603	228	-691	-745
2023-08-02 16:15:20.692765,-1196	-905	4529	681	-47	-368
2023-08-02 16:15:20.720741,-1261	-537	4517	370	15	149
2023-08-02 16:15:20.753669,-1218	-684	4635	-526	-396	190
2023-08-02 16:15:20.787337,-1448	-846	4629	-1261	-690	-73
2023-08-02 16:15:20.823417,-1002	-837	4592	-761	-301	-455
2023-08-02 16:15:20.852343,-1303	-821	4605	524	551	-453
2023-08-02 16:15:20.885055,-957	-657	4731	1205	816	117
2023-08-02 16:15:20.913943,-797	-894	4786	843	485	647
2023-08-02 16:15:20.942039,-695	-558	4738	-82	-84	674
2023-08-02 16:15:20.970955,-938	-953	4655	-922	-410	363
2023-08-02 16:15:21.003674,-1250	-850	4642	-794	-107	-200
2023-08-02 16:15:21.036649,-1370	-774	4641	326	596	-412
2023-08-02 16:15:21.069467,-1712	-422	4721	890	947	-227
2023-08-02 16:15:21.097640,-1532	-380	4733	235	853	-71
