Timestamp,Data
2023-08-01 11:58:52.826951,8-58
2023-08-01 11:59:01.481164,-635	1656	541	-311	154	-115
2023-08-01 11:59:01.509166,-1275	2812	516	-266	152	-55
2023-08-01 11:59:01.537636,-999	1996	613	-192	223	8
2023-08-01 11:59:01.567661,-811	2391	541	-61	192	26
2023-08-01 11:59:01.595832,-1662	2893	610	-57	203	-90
2023-08-01 11:59:01.624454,-1000	3751	461	-103	203	-96
2023-08-01 11:59:01.653920,-1541	2095	406	-255	114	-83
2023-08-01 11:59:01.686004,-887	3728	486	-286	153	-62
2023-08-01 11:59:01.710558,-833	3876	553	-246	54	54
2023-08-01 11:59:01.739696,-595	2319	528	-125	103	-49
2023-08-01 11:59:01.767818,-752	2602	562	-14	112	-110
2023-08-01 11:59:01.800645,-1661	1787	413	-73	71	-125
2023-08-01 11:59:01.829120,-760	2252	425	-292	89	-168
2023-08-01 11:59:01.858057,-1391	3081	641	-304	-9	-113
2023-08-01 11:59:01.886760,-1771	1922	482	-254	-33	-6
2023-08-01 11:59:01.915845,-795	1141	587	-130	16	-62
2023-08-01 11:59:01.944031,-1191	1653	578	-25	23	-55
2023-08-01 11:59:01.973070,-1413	3433	471	-30	89	-113
2023-08-01 11:59:02.005167,-1184	2603	457	-286	-39	-117
2023-08-01 11:59:02.034658,-1768	2442	441	-329	-50	-7
2023-08-01 11:59:02.062797,-1633	1985	639	-247	-157	-32
2023-08-01 11:59:02.095834,-1635	1823	543	-131	14	-20
2023-08-01 11:59:02.124629,-1189	2369	629	-77	-81	-34
2023-08-01 11:59:02.153115,-1401	3235	508	-5	-84	-106
2023-08-01 11:59:02.181692,-882	2457	416	-255	-34	-152
2023-08-01 11:59:02.209710,-876	2481	444	-392	-95	-75
2023-08-01 11:59:02.237861,-549	2610	671	-285	-224	42
2023-08-01 11:59:02.271811,-1126	3299	438	-101	-55	-82
2023-08-01 11:59:02.296015,-1425	2333	633	2	-82	-67
2023-08-01 11:59:02.324268,-460	3217	539	-14	-86	-144
2023-08-01 11:59:02.357571,-784	2678	585	-211	-157	-83
2023-08-01 11:59:02.386674,-529	2031	512	-347	-180	-25
2023-08-01 11:59:02.419746,-741	2193	608	-332	-196	-60
2023-08-01 11:59:02.447996,-795	1714	607	-149	-70	-40
2023-08-01 11:59:02.476031,-811	2267	633	-23	-123	-49
2023-08-01 11:59:02.504914,-1105	1534	438	43	-152	-115
2023-08-01 11:59:02.537823,-1325	1419	399	-252	-187	-147
2023-08-01 11:59:02.566612,-647	1074	489	-378	-185	-83
2023-08-01 11:59:02.599554,-926	1989	593	-298	-252	-40
2023-08-01 11:59:02.627752,-1654	2028	556	-111	-169	-45
